,Seed,Linkage Method,Color Distribution
189,47,complete,"{'green': {1: 6}, 'green, green': {1: 4}, 'green, green, green': {1: 1}, 'green, green, green, green, green': {1: 1}, 'green, green, green, green, green, green': {1: 1}, 'green, green, green, green, green, green, green': {1: 3}, 'green, green, green, green, green, green, green, green': {1: 2}, 'green, red, red': {1: 12}, 'red': {1: 1}, 'red, green, green, green, green, green, green, green, green': {1: 2}, 'red, red': {1: 1}}"
190,47,average,"{'green': {1: 5, 2: 1}, 'green, green': {1: 4, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, green, green, green, green': {1: 1, 2: 0}, 'green, green, green, green, green, green': {1: 1, 2: 0}, 'green, green, green, green, green, green, green': {1: 3, 2: 0}, 'green, green, green, green, green, green, green, green': {1: 2, 2: 0}, 'green, red, red': {1: 12, 2: 0}, 'red': {1: 1, 2: 0}, 'red, green, green, green, green, green, green, green, green': {1: 2, 2: 0}, 'red, red': {1: 1, 2: 0}}"
191,47,ward,"{'green': {1: 0, 2: 6}, 'green, green': {1: 0, 2: 4}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green, green, green': {1: 0, 2: 3}, 'green, green, green, green, green, green, green, green': {1: 0, 2: 2}, 'green, red, red': {1: 12, 2: 0}, 'red': {1: 1, 2: 0}, 'red, green, green, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red': {1: 1, 2: 0}}"
192,48,single,"{'green': {1: 2}, 'green, red, red, red, red, red, red': {1: 3}, 'red': {1: 4}, 'red, green, green, green, green': {1: 5}, 'red, red': {1: 1}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 2}, 'red, red, red, red, red': {1: 2}, 'red, red, red, red, red, red': {1: 3}}"
193,48,complete,"{'green': {1: 2}, 'green, red, red, red, red, red, red': {1: 3}, 'red': {1: 4}, 'red, green, green, green, green': {1: 5}, 'red, red': {1: 1}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 2}, 'red, red, red, red, red': {1: 2}, 'red, red, red, red, red, red': {1: 3}}"
194,48,average,"{'green': {1: 2, 2: 0}, 'green, red, red, red, red, red, red': {1: 0, 2: 3}, 'red': {1: 0, 2: 4}, 'red, green, green, green, green': {1: 5, 2: 0}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red, red': {1: 0, 2: 3}}"
195,48,ward,"{'green': {1: 0, 2: 2}, 'green, red, red, red, red, red, red': {1: 3, 2: 0}, 'red': {1: 0, 2: 4}, 'red, green, green, green, green': {1: 0, 2: 5}, 'red, red': {1: 1, 2: 0}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red, red': {1: 3, 2: 0}}"
196,49,single,"{'green': {1: 3}, 'green, red, red, red, red, red, red, red': {1: 2}, 'red': {1: 1}, 'red, green, green': {1: 4}, 'red, green, green, green': {1: 6}, 'red, red': {1: 2}, 'red, red, red': {1: 3}, 'red, red, red, red': {1: 1}, 'red, red, red, red, red': {1: 2}, 'red, red, red, red, red, red': {1: 2}, 'red, red, red, red, red, red, red': {1: 2}}"
197,49,complete,"{'green': {1: 3}, 'green, red, red, red, red, red, red, red': {1: 2}, 'red': {1: 1}, 'red, green, green': {1: 4}, 'red, green, green, green': {1: 6}, 'red, red': {1: 2}, 'red, red, red': {1: 3}, 'red, red, red, red': {1: 1}, 'red, red, red, red, red': {1: 2}, 'red, red, red, red, red, red': {1: 2}, 'red, red, red, red, red, red, red': {1: 2}}"
198,49,average,"{'green': {1: 0, 2: 3}, 'green, red, red, red, red, red, red, red': {1: 2, 2: 0}, 'red': {1: 1, 2: 0}, 'red, green, green': {1: 0, 2: 4}, 'red, green, green, green': {1: 0, 2: 6}, 'red, red': {1: 2, 2: 0}, 'red, red, red': {1: 3, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}, 'red, red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red, red, red': {1: 2, 2: 0}}"
199,49,ward,"{'green': {1: 3, 2: 0}, 'green, red, red, red, red, red, red, red': {1: 0, 2: 2}, 'red': {1: 0, 2: 1}, 'red, green, green': {1: 4, 2: 0}, 'red, green, green, green': {1: 6, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red': {1: 0, 2: 3}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red, red, red': {1: 0, 2: 2}}"
