,Seed,Linkage Method,Cluster Color Percentage,Number of Clusters
153,38,complete,"{1: {'green': 59.76, 'red': 40.24}, 2: {}}",2
154,38,average,"{1: {'green': 21.95, 'red': 78.05}, 2: {'green': 97.56, 'red': 2.44}}",2
155,38,ward,"{1: {'green': 21.95, 'red': 78.05}, 2: {'green': 97.56, 'red': 2.44}}",2
156,39,single,"{1: {'green': 94.59, 'red': 5.41}, 2: {'green': 10.91, 'red': 89.09}}",2
157,39,complete,"{1: {'green': 44.57, 'red': 55.43}, 2: {}}",2
158,39,average,"{1: {'green': 94.59, 'red': 5.41}, 2: {'green': 10.91, 'red': 89.09}}",2
159,39,ward,"{1: {'green': 94.59, 'red': 5.41}, 2: {'green': 10.91, 'red': 89.09}}",2
160,40,single,"{1: {'green': 21.43, 'red': 78.57}, 2: {'green': 94.12, 'red': 5.88}}",2
161,40,complete,"{1: {'green': 56.07, 'red': 43.93}, 2: {}}",2
162,40,average,"{1: {'green': 21.43, 'red': 78.57}, 2: {'green': 94.12, 'red': 5.88}}",2
163,40,ward,"{1: {'green': 21.43, 'red': 78.57}, 2: {'green': 94.12, 'red': 5.88}}",2
164,41,single,"{1: {'green': 14.29, 'red': 85.71}, 2: {'green': 95.45, 'red': 4.55}}",2
165,41,complete,"{1: {'green': 55.81, 'red': 44.19}, 2: {}}",2
166,41,average,"{1: {'green': 14.29, 'red': 85.71}, 2: {'green': 95.45, 'red': 4.55}}",2
167,41,ward,"{1: {'green': 14.29, 'red': 85.71}, 2: {'green': 95.45, 'red': 4.55}}",2
168,42,single,"{1: {'green': 84.38, 'red': 15.62}, 2: {'green': 8.0, 'red': 92.0}}",2
169,42,complete,"{1: {'green': 37.8, 'red': 62.2}, 2: {}}",2
170,42,average,"{1: {'green': 84.38, 'red': 15.62}, 2: {'green': 8.0, 'red': 92.0}}",2
171,42,ward,"{1: {'green': 84.38, 'red': 15.62}, 2: {'green': 8.0, 'red': 92.0}}",2
172,43,single,"{1: {'green': 14.29, 'red': 85.71}, 2: {'green': 100.0}}",2
173,43,complete,"{1: {'green': 60.66, 'red': 39.34}, 2: {}}",2
174,43,average,"{1: {'green': 14.29, 'red': 85.71}, 2: {'green': 100.0}}",2
175,43,ward,"{1: {'green': 14.29, 'red': 85.71}, 2: {'green': 100.0}}",2
176,44,single,"{1: {'green': 88.89, 'red': 11.11}, 2: {'green': 7.69, 'red': 92.31}}",2
177,44,complete,"{1: {'green': 51.19, 'red': 48.81}, 2: {}}",2
178,44,average,"{1: {'green': 88.89, 'red': 11.11}, 2: {'green': 7.69, 'red': 92.31}}",2
179,44,ward,"{1: {'green': 7.69, 'red': 92.31}, 2: {'green': 88.89, 'red': 11.11}}",2
180,45,single,"{1: {'green': 87.5, 'red': 12.5}, 2: {'green': 8.7, 'red': 91.3}}",2
181,45,complete,"{1: {'green': 48.94, 'red': 51.06}, 2: {}}",2
182,45,average,"{1: {'green': 87.5, 'red': 12.5}, 2: {'green': 8.7, 'red': 91.3}}",2
183,45,ward,"{1: {'green': 87.5, 'red': 12.5}, 2: {'green': 8.7, 'red': 91.3}}",2
184,46,single,"{1: {'red': 100.0}, 2: {'green': 91.43, 'red': 8.57}}",2
185,46,complete,"{1: {'green': 91.43, 'red': 8.57}, 2: {'red': 100.0}}",2
186,46,average,"{1: {'green': 91.43, 'red': 8.57}, 2: {'red': 100.0}}",2
