,Seed,Linkage Method,Color Distribution,Number of Clusters
149,37,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    4                           2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     0                1   
2                                                     1                0   

Colors_String  green, red, red, red  red, green, green, green, green, green  \
Cluster                                                                       
1                                 5                                       0   
2                                 0                                       1   

Colors_String  red, green, green, green, green, green, green  red, red, red  
Cluster                                                                      
1                                                          0              2  
2                                                          5              0  ",2
150,37,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    4                           2   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   
2                                              0   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     1                0   
2                                                     0                1   

Colors_String  green, red, red, red  red, green, green, green, green, green  \
Cluster                                                                       
1                                 0                                       1   
2                                 5                                       0   

Colors_String  red, green, green, green, green, green, green  red, red, red  
Cluster                                                                      
1                                                          5              0  
2                                                          0              2  ",2
151,37,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    4                           2   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   
2                                              0   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     1                0   
2                                                     0                1   

Colors_String  green, red, red, red  red, green, green, green, green, green  \
Cluster                                                                       
1                                 0                                       1   
2                                 5                                       0   

Colors_String  red, green, green, green, green, green, green  red, red, red  
Cluster                                                                      
1                                                          5              0  
2                                                          0              2  ",2
152,38,single,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         1                    2   
2                         0                    0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   
2                                              0   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     4                     0   
2                                                     0                    12   

Colors_String  red, green, green, green, green, green, green, green  red, red  
Cluster                                                                        
1                                                              1            0  
2                                                              0            1  ",2
153,38,complete,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         1                    2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     0                    12   
2                                                     4                     0   

Colors_String  red, green, green, green, green, green, green, green  red, red  
Cluster                                                                        
1                                                              0            1  
2                                                              1            0  ",2
154,38,average,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         1                    2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     0                    12   
2                                                     4                     0   

Colors_String  red, green, green, green, green, green, green, green  red, red  
Cluster                                                                        
1                                                              0            1  
2                                                              1            0  ",2
155,38,ward,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         1                    2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     0                    12   
2                                                     4                     0   

Colors_String  red, green, green, green, green, green, green, green  red, red  
Cluster                                                                        
1                                                              0            1  
2                                                              1            0  ",2
156,39,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         3                    6                           3   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  green, red, red  \
Cluster                                                             
1                                              1                0   
2                                              0                1   

Colors_String  green, red, red, red, red  green, red, red, red, red, red  \
Cluster                                                                    
1                                      0                               0   
2                                      3                               4   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   2         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          0                   0  
2                          1                   1  ",2
157,39,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         3                    6                           3   

Colors_String  green, green, green, green, green  green, red, red  \
Cluster                                                             
1                                              1                1   

Colors_String  green, red, red, red, red  green, red, red, red, red, red  \
Cluster                                                                    
1                                      3                               4   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   2         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          1                   1  ",2
158,39,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         3                    6                           3   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  green, red, red  \
Cluster                                                             
1                                              1                0   
2                                              0                1   

Colors_String  green, red, red, red, red  green, red, red, red, red, red  \
Cluster                                                                    
1                                      0                               0   
2                                      3                               4   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   2         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          0                   0  
2                          1                   1  ",2
159,39,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         3                    6                           3   

Colors_String  green, green, green, green, green  green, red, red  \
Cluster                                                             
1                                              0                1   
2                                              1                0   

Colors_String  green, red, red, red, red  green, red, red, red, red, red  \
Cluster                                                                    
1                                      3                               4   
2                                      0                               0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   0         1   
2                                                   2         0   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          1                   1  
2                          0                   0  ",2
160,40,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    3                           2   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     0                3   
2                                                     6                0   

Colors_String  green, red, red, red  \
Cluster                               
1                                 7   
2                                 0   

Colors_String  red, green, green, green, green, green, green, green  red, red  \
Cluster                                                                         
1                                                              0            2   
2                                                              3            0   

Colors_String  red, red, red  
Cluster                       
1                          1  
2                          0  ",2
161,40,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    3                           2   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     6                3   

Colors_String  green, red, red, red  \
Cluster                               
1                                 7   

Colors_String  red, green, green, green, green, green, green, green  red, red  \
Cluster                                                                         
1                                                              3            2   

Colors_String  red, red, red  
Cluster                       
1                          1  ",2
162,40,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    3                           2   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     0                3   
2                                                     6                0   

Colors_String  green, red, red, red  \
Cluster                               
1                                 7   
2                                 0   

Colors_String  red, green, green, green, green, green, green, green  red, red  \
Cluster                                                                         
1                                                              0            2   
2                                                              3            0   

Colors_String  red, red, red  
Cluster                       
1                          1  
2                          0  ",2
163,40,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    3                           2   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     0                3   
2                                                     6                0   

Colors_String  green, red, red, red  \
Cluster                               
1                                 7   
2                                 0   

Colors_String  red, green, green, green, green, green, green, green  red, red  \
Cluster                                                                         
1                                                              0            2   
2                                                              3            0   

Colors_String  red, red, red  
Cluster                       
1                          1  
2                          0  ",2
164,41,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    4                           2   

Colors_String  green, green, green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                                              0                          5   
2                                              1                          0   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          0         1   
2                                                          2         0   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          1                   2  
2                          0                   0  ",2
165,41,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    4                           2   

Colors_String  green, green, green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                                              1                          5   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          2         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          1                   2  ",2
166,41,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    4                           2   

Colors_String  green, green, green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                                              0                          5   
2                                              1                          0   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          0         1   
2                                                          2         0   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          1                   2  
2                          0                   0  ",2
167,41,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    4                           2   

Colors_String  green, green, green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                                              0                          5   
2                                              1                          0   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          0         1   
2                                                          2         0   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          1                   2  
2                          0                   0  ",2
168,42,single,"Colors_String  green  green, green, green  green, red, red, red  \
Cluster                                                           
1                  0                    2                     0   
2                  1                    0                     1   

Colors_String  green, red, red, red, red, red, red  red, green  \
Cluster                                                          
1                                                0           0   
2                                                2           1   

Colors_String  red, green, green, green  red, red  red, red, red  \
Cluster                                                            
1                                     2         0              0   
2                                     0         2              2   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               0                        0   
2                               4                        2   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
169,42,complete,"Colors_String  green  green, green, green  green, red, red, red  \
Cluster                                                           
1                  1                    2                     1   

Colors_String  green, red, red, red, red, red, red  red, green  \
Cluster                                                          
1                                                2           1   

Colors_String  red, green, green, green  red, red  red, red, red  \
Cluster                                                            
1                                     2         2              2   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               4                        2   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         1  ",2
170,42,average,"Colors_String  green  green, green, green  green, red, red, red  \
Cluster                                                           
1                  0                    2                     0   
2                  1                    0                     1   

Colors_String  green, red, red, red, red, red, red  red, green  \
Cluster                                                          
1                                                0           0   
2                                                2           1   

Colors_String  red, green, green, green  red, red  red, red, red  \
Cluster                                                            
1                                     2         0              0   
2                                     0         2              2   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               0                        0   
2                               4                        2   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
171,42,ward,"Colors_String  green  green, green, green  green, red, red, red  \
Cluster                                                           
1                  0                    2                     0   
2                  1                    0                     1   

Colors_String  green, red, red, red, red, red, red  red, green  \
Cluster                                                          
1                                                0           0   
2                                                2           1   

Colors_String  red, green, green, green  red, red  red, red, red  \
Cluster                                                            
1                                     2         0              0   
2                                     0         2              2   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               0                        0   
2                               4                        2   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
172,43,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    2                           3   

Colors_String  green, green, green, green, green  green, red, red, red  \
Cluster                                                                  
1                                              0                     1   
2                                              3                     0   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      5   
2                                      0   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   0   
2                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              3   
2                                                          2              0   

Colors_String  red, red, red, red  
Cluster                            
1                               1  
2                               0  ",2
173,43,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    2                           3   

Colors_String  green, green, green, green, green  green, red, red, red  \
Cluster                                                                  
1                                              0                     1   
2                                              3                     0   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      5   
2                                      0   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   0   
2                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              3   
2                                                          2              0   

Colors_String  red, red, red, red  
Cluster                            
1                               1  
2                               0  ",2
174,43,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    2                           3   

Colors_String  green, green, green, green, green  green, red, red, red  \
Cluster                                                                  
1                                              0                     1   
2                                              3                     0   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      5   
2                                      0   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   0   
2                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              3   
2                                                          2              0   

Colors_String  red, red, red, red  
Cluster                            
1                               1  
2                               0  ",2
175,43,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    2                           3   

Colors_String  green, green, green, green, green  green, red, red, red  \
Cluster                                                                  
1                                              0                     1   
2                                              3                     0   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      5   
2                                      0   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   0   
2                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              3   
2                                                          2              0   

Colors_String  red, red, red, red  
Cluster                            
1                               1  
2                               0  ",2
176,44,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         3                    3                           1   
2                         0                    0                           0   

Colors_String  green, red, red  green, red, red, red  \
Cluster                                                
1                            0                     0   
2                            1                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                      1   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   7         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          0                   0  
2                          4                   1  ",2
177,44,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         3                    3                           1   

Colors_String  green, red, red  green, red, red, red  \
Cluster                                                
1                            1                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      1   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   7         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          4                   1  ",2
178,44,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         3                    3                           1   
2                         0                    0                           0   

Colors_String  green, red, red  green, red, red, red  \
Cluster                                                
1                            0                     0   
2                            1                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                      1   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   7         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          0                   0  
2                          4                   1  ",2
179,44,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         3                    3                           1   
2                         0                    0                           0   

Colors_String  green, red, red  green, red, red, red  \
Cluster                                                
1                            0                     0   
2                            1                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                      1   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   7         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          0                   0  
2                          4                   1  ",2
180,45,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    1                           3   
2                         0                    0                           0   

Colors_String  green, red, red, red, red  green, red, red, red, red, red  \
Cluster                                                                    
1                                      0                               0   
2                                      1                               1   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     3                                4   
2                                     0                                0   

Colors_String  red, red  red, red, red  red, red, red, red  
Cluster                                                     
1                     0              0                   0  
2                     4              1                   1  ",2
181,45,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    1                           3   

Colors_String  green, red, red, red, red  green, red, red, red, red, red  \
Cluster                                                                    
1                                      1                               1   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     3                                4   

Colors_String  red, red  red, red, red  red, red, red, red  
Cluster                                                     
1                     4              1                   1  ",2
182,45,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    1                           3   
2                         0                    0                           0   

Colors_String  green, red, red, red, red  green, red, red, red, red, red  \
Cluster                                                                    
1                                      0                               0   
2                                      1                               1   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     3                                4   
2                                     0                                0   

Colors_String  red, red  red, red, red  red, red, red, red  
Cluster                                                     
1                     0              0                   0  
2                     4              1                   1  ",2
183,45,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    1                           3   

Colors_String  green, red, red, red, red  green, red, red, red, red, red  \
Cluster                                                                    
1                                      1                               1   
2                                      0                               0   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     0                                0   
2                                     3                                4   

Colors_String  red, red  red, red, red  red, red, red, red  
Cluster                                                     
1                     4              1                   1  
2                     0              0                   0  ",2
184,46,single,"Colors_String  green, green, green, green, green  green, red, red, red  \
Cluster                                                                  
1                                              5                     0   
2                                              0                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                      1   

Colors_String  red, green, green, green, green, green  red, red, red  \
Cluster                                                                
1                                                   2              0   
2                                                   0              3   

Colors_String  red, red, red, red  
Cluster                            
1                               0  
2                               3  ",2
185,46,complete,"Colors_String  green, green, green, green, green  green, red, red, red  \
Cluster                                                                  
1                                              5                     0   
2                                              0                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                      1   

Colors_String  red, green, green, green, green, green  red, red, red  \
Cluster                                                                
1                                                   2              0   
2                                                   0              3   

Colors_String  red, red, red, red  
Cluster                            
1                               0  
2                               3  ",2
186,46,average,"Colors_String  green, green, green, green, green  green, red, red, red  \
Cluster                                                                  
1                                              5                     0   
2                                              0                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                      1   

Colors_String  red, green, green, green, green, green  red, red, red  \
Cluster                                                                
1                                                   2              0   
2                                                   0              3   

Colors_String  red, red, red, red  
Cluster                            
1                               0  
2                               3  ",2
